,Instance,Clear,Start Time,End Time,Duration,Deaths
230,2,False,2022-01-21 19:55:41,2022-01-21 19:58:54,0:03:13,9
231,2,False,2022-01-21 19:59:31,2022-01-21 19:59:56,0:00:25,6
232,2,False,2022-01-22 17:05:56,2022-01-22 17:06:08,0:00:12,8
233,2,False,2022-01-22 17:10:09,2022-01-22 17:11:50,0:01:41,8
234,2,False,2022-01-22 17:12:36,2022-01-22 17:15:33,0:02:57,9
235,2,False,2022-01-22 17:16:59,2022-01-22 17:19:46,0:02:47,9
236,2,False,2022-01-22 17:20:36,2022-01-22 17:22:27,0:01:51,9
237,2,False,2022-01-22 17:23:12,2022-01-22 17:24:09,0:00:57,8
238,2,False,2022-01-22 17:24:52,2022-01-22 17:26:05,0:01:13,8
239,2,False,2022-01-22 17:26:46,2022-01-22 17:27:49,0:01:03,8
240,2,False,2022-01-22 17:28:32,2022-01-22 17:31:53,0:03:21,8
241,2,False,2022-01-22 17:33:21,2022-01-22 17:34:20,0:00:59,8
242,2,False,2022-01-22 17:35:58,2022-01-22 17:39:36,0:03:38,10
243,2,False,2022-01-22 17:41:31,2022-01-22 17:44:36,0:03:05,8
244,2,False,2022-01-22 17:46:38,2022-01-22 17:48:18,0:01:40,8
245,2,False,2022-01-22 17:48:54,2022-01-22 17:49:55,0:01:01,8
246,2,False,2022-01-22 17:50:46,2022-01-22 17:51:59,0:01:13,8
247,2,False,2022-01-22 17:52:27,2022-01-22 17:53:33,0:01:06,8
248,2,False,2022-01-22 17:55:45,2022-01-22 17:57:21,0:01:36,8
249,2,False,2022-01-22 17:58:18,2022-01-22 18:01:51,0:03:33,10
250,2,False,2022-01-22 18:04:29,2022-01-22 18:08:02,0:03:33,10
251,2,False,2022-01-22 18:09:08,2022-01-22 18:10:44,0:01:36,8
252,2,False,2022-01-22 18:19:48,2022-01-22 18:20:49,0:01:01,8
253,2,False,2022-01-22 18:21:30,2022-01-22 18:24:47,0:03:17,8
254,2,False,2022-01-22 18:25:46,2022-01-22 18:28:32,0:02:46,8
255,2,False,2022-01-22 18:30:18,2022-01-22 18:33:31,0:03:13,8
256,2,False,2022-01-22 18:34:23,2022-01-22 18:38:18,0:03:55,8
257,2,False,2022-01-22 18:40:38,2022-01-22 18:40:48,0:00:10,8
258,2,False,2022-01-22 18:44:12,2022-01-22 18:47:27,0:03:15,8
259,2,False,2022-01-22 18:49:28,2022-01-22 18:53:28,0:04:00,9
260,2,False,2022-01-22 18:54:41,2022-01-22 18:55:37,0:00:56,8
261,2,False,2022-01-22 18:56:55,2022-01-22 19:00:53,0:03:58,8
262,2,False,2022-01-22 19:01:36,2022-01-22 19:03:12,0:01:36,8
